time,open,high,low,close,volume
0,2021-03-19 20:00:00,199.31,199.4,198.5601,199.0,14316
1,2021-03-19 19:30:00,199.98,199.99,199.2,199.3,6403
2,2021-03-19 19:00:00,199.1,200.0,199.0,200.0,15086
3,2021-03-19 18:30:00,200.24,200.29,199.01,199.4,20833
4,2021-03-19 18:00:00,199.5972,200.4,199.55,200.24,14931
5,2021-03-19 17:30:00,200.0,200.4,199.55,199.55,31403
6,2021-03-19 17:00:00,199.02,200.77,198.31,200.4,80903
7,2021-03-19 16:30:00,200.27,201.0,198.25,198.8,252408
8,2021-03-19 16:00:00,206.115,206.77,199.46,199.46,1561870
9,2021-03-19 15:30:00,212.23,212.23,204.49,206.17,1004314
10,2021-03-19 15:00:00,205.2962,214.49,203.54,212.23,1347061
11,2021-03-19 14:30:00,211.7278,212.4,205.02,205.0402,1000136
12,2021-03-19 14:00:00,211.8701,216.85,209.37,211.875,1206005
13,2021-03-19 13:30:00,215.8,219.78,209.37,211.8871,1606303
14,2021-03-19 13:00:00,217.3506,227.0,214.11,216.25,3682528
15,2021-03-19 12:30:00,212.0,218.0,207.5612,217.0258,2697746
16,2021-03-19 12:00:00,190.679,217.39,190.32,212.14,3333097
17,2021-03-19 11:30:00,190.47,192.0,187.4006,190.6,481644
18,2021-03-19 11:00:00,188.9699,195.73,186.95,190.29,1052930
19,2021-03-19 10:30:00,191.11,192.8,186.2,188.97,921075
20,2021-03-19 10:00:00,195.73,199.29,182.66,191.11,2948717
21,2021-03-19 09:30:00,201.0,203.03,195.0,195.26,93438
22,2021-03-19 09:00:00,203.5,203.5,199.21,201.0,43565
23,2021-03-19 08:30:00,203.9495,206.0,203.0,203.75,22471
24,2021-03-19 08:00:00,204.0,204.0,203.1,203.99,4817
25,2021-03-19 07:30:00,206.05,206.05,203.0,203.87,10955
26,2021-03-19 07:00:00,206.6,206.6,206.5,206.51,4798
27,2021-03-19 06:30:00,206.34,206.98,206.0,206.5,2926
28,2021-03-19 06:00:00,205.85,207.2,205.85,206.1,5657
29,2021-03-19 05:30:00,204.0,205.5,203.33,205.5,6177
30,2021-03-19 05:00:00,203.45,203.45,203.0,203.45,1624
31,2021-03-19 04:30:00,204.79,206.35,201.89,204.0,4968
32,2021-03-18 20:00:00,202.53,202.53,200.1,201.0,15460
33,2021-03-18 19:30:00,202.69,203.03,201.91,202.59,6412
34,2021-03-18 19:00:00,203.01,203.7,202.51,202.51,6589
35,2021-03-18 18:30:00,203.8,204.0,203.18,203.7499,7840
36,2021-03-18 18:00:00,203.25,203.76,203.01,203.68,15279
37,2021-03-18 17:30:00,202.89,203.3,201.77,202.9,32911
38,2021-03-18 17:00:00,200.35,202.83,200.2,202.5,25945
39,2021-03-18 16:30:00,201.38,202.73,200.17,200.35,61190
40,2021-03-18 16:00:00,200.69,201.52,196.9304,201.52,919146
41,2021-03-18 15:30:00,201.25,203.0,195.65,200.76,1098978
42,2021-03-18 15:00:00,203.8642,204.9899,199.2,201.35,612538
43,2021-03-18 14:30:00,207.75,207.75,203.407,203.84900000000002,257432
44,2021-03-18 14:00:00,206.2,207.9,204.4301,207.62,269627
45,2021-03-18 13:30:00,202.28,207.8647,201.35,206.1215,514085
46,2021-03-18 13:00:00,207.3401,207.9478,202.01,202.05,619077
47,2021-03-18 12:30:00,207.8673,209.0,205.5,207.34,408881
48,2021-03-18 12:00:00,212.97,213.37,205.58,207.8665,689177
49,2021-03-18 11:30:00,211.22,213.73,208.5,212.9885,579544
50,2021-03-18 11:00:00,209.5,216.23,209.2,211.4218,1237477
51,2021-03-18 10:30:00,201.6,212.49,198.11,209.75,1770917
52,2021-03-18 10:00:00,214.0,218.88,201.09,201.9128,2034249
53,2021-03-18 09:30:00,216.1,216.5,214.02,214.02,86794
54,2021-03-18 09:00:00,217.25,217.4,215.3,215.68,42423
55,2021-03-18 08:30:00,217.0,218.0,214.01,217.35,48236
56,2021-03-18 08:00:00,216.69,216.7,214.0,214.1,29785
57,2021-03-18 07:30:00,217.5,218.0,215.2,216.59,24190
58,2021-03-18 07:00:00,217.2,218.1,216.9,217.5,2117
59,2021-03-18 06:30:00,218.0,218.0,217.0,217.0,1930
60,2021-03-18 06:00:00,219.09,219.09,218.37,218.37,4436
61,2021-03-18 05:30:00,218.74,221.0,218.57,218.75,11190
62,2021-03-18 05:00:00,219.36,219.36,216.19,218.5,8592
63,2021-03-18 04:30:00,213.05,222.01,213.05,218.7,46714
64,2021-03-17 20:00:00,211.25,211.5,211.0,211.43,20198
65,2021-03-17 19:30:00,211.38,211.5,210.9,211.5,14528
66,2021-03-17 19:00:00,210.5,211.5,210.2,210.8001,22090
67,2021-03-17 18:30:00,211.84,211.85,210.5,210.5,5411
68,2021-03-17 18:00:00,211.0,211.99,210.29,211.5,24988
69,2021-03-17 17:30:00,212.38,212.49,210.3,211.4,27629
70,2021-03-17 17:00:00,210.5001,213.88,210.38,212.1,111275
71,2021-03-17 16:30:00,208.64,210.88,207.0,210.5,113360
72,2021-03-17 16:00:00,209.8933,211.65,204.0,209.8,1679044
73,2021-03-17 15:30:00,215.95,216.25,207.35,210.33,823068
74,2021-03-17 15:00:00,217.13,217.7,212.5101,215.84,852661
75,2021-03-17 14:30:00,220.11,223.0,217.1,217.13,588201
76,2021-03-17 14:00:00,218.25,220.11,216.51,219.87,383895
77,2021-03-17 13:30:00,219.2001,221.3,217.0,218.3064,461445
78,2021-03-17 13:00:00,224.6201,225.5871,218.7338,219.8656,694512
79,2021-03-17 12:30:00,218.5001,225.0,217.12,224.98,858564
80,2021-03-17 12:00:00,217.56,221.6573,216.2,218.655,778485
81,2021-03-17 11:30:00,218.02,218.68400000000003,213.2001,217.8986,777978
82,2021-03-17 11:00:00,217.39,219.76,210.52,218.2136,1414101
83,2021-03-17 10:30:00,223.0,224.89,214.36,217.4865,2103788
84,2021-03-17 10:00:00,217.84,231.47,213.53,222.65,3800801
85,2021-03-17 09:30:00,216.3,221.89,213.0,217.74,312520
86,2021-03-17 09:00:00,206.0,217.95,205.75,216.72,238393
87,2021-03-17 08:30:00,199.0,208.85,199.0,205.5,49943
88,2021-03-17 08:00:00,200.01,208.85,200.0,205.52,39378
89,2021-03-17 07:30:00,200.25,201.1,199.0,200.0,20359
90,2021-03-17 07:00:00,198.75,202.0,198.75,202.0,3541
91,2021-03-17 06:30:00,199.21,199.44,199.11,199.11,723
92,2021-03-17 06:00:00,200.54,200.54,199.01,199.12,4574
93,2021-03-17 05:30:00,201.11,203.29,196.48,200.54,3959
94,2021-03-17 05:00:00,203.0,203.0,203.0,203.0,188
95,2021-03-17 04:30:00,203.75,203.75,197.03,203.01,6009
96,2021-03-16 20:00:00,204.21,204.7,201.0,201.0,26219
97,2021-03-16 19:30:00,205.06,205.65,204.1,204.22,25556
98,2021-03-16 19:00:00,204.87,205.2,204.11,205.0,11303
99,2021-03-16 18:30:00,205.2,206.0,204.21,204.5,8256
100,2021-03-16 18:00:00,205.5,205.5,204.4,205.5,12998
101,2021-03-16 17:30:00,206.99,206.99,204.08,205.01,25447
102,2021-03-16 17:00:00,203.6,208.17,203.35,206.8,57557
103,2021-03-16 16:30:00,206.67,209.44,201.89,203.15,144326
104,2021-03-16 16:00:00,209.63,215.4999,206.4201,207.6199,1352296
105,2021-03-16 15:30:00,205.9999,212.025,203.44,209.37,931554
106,2021-03-16 15:00:00,210.46,215.15,204.0,205.8037,1543315
107,2021-03-16 14:30:00,214.1201,220.7,208.0,210.3001,2150128
108,2021-03-16 14:00:00,212.29,220.05,208.0,214.21,2432583
109,2021-03-16 13:30:00,204.94,215.58,200.0,212.16,2483724
110,2021-03-16 13:00:00,194.59,204.95,192.53,204.94,1551129
111,2021-03-16 12:30:00,194.9297,200.4,191.3201,194.5789,1183525
112,2021-03-16 12:00:00,198.4522,200.73,191.53,194.99,1898173
113,2021-03-16 11:30:00,193.545,211.58,193.372,198.57,4123519
114,2021-03-16 11:00:00,173.0,195.68,172.35,193.7261,3275131
115,2021-03-16 10:30:00,190.25,195.0,172.5,173.01,4066135
116,2021-03-16 10:00:00,203.16,212.5999,175.52,189.94,6271748
117,2021-03-16 09:30:00,197.0,213.91,191.0,203.32,341624
118,2021-03-16 09:00:00,191.66,198.85,186.91,197.0,479010
119,2021-03-16 08:30:00,208.0,213.73,191.96,192.0,354225
120,2021-03-16 08:00:00,202.38,204.5,194.8,197.14,197072
121,2021-03-16 07:30:00,212.12,213.5,198.0,202.23,309670
122,2021-03-16 07:00:00,212.69,214.29,210.9,211.0,12285
